Notas
1.4
2.8
2.6
3.2
2.8
2.8
3.2
1.7
4
3.2
3
3.6
1.7
3
3.6
1.8
1.6
1.4
3.4
2.2
0.6
2.1
3.6
3.6
1.4
1.4
1.4
3
3.2
2.2
3.4
2.2
