Notas
1.3
1.5
4
2.2
3.2
2.3
2.8
4
1.8
4
0.3
2.3
3
1.9
2.6
2.3
3.2
0.3
2.5
3
4
1.7
1.5
4
2.8
2.5
1.5
0.4
2.6
3.6
4
2.4
2.5
4
